Impl,date,percentage,"roast sha1",pass,fail,todo,skip,plan,spec,"impl sha1",notes
niecza,2014-05-24,68.91%,ee6df08,20692,1165,713,1745,24283,31445,48a8de3,
pugs,2014-05-24,00.06%,ee6df08,19,14737,0,1,14757,31329,9d8b59d,
rakudo.jvm,2014-05-24,98.47%,ee6df08,29568,4,644,1590,31806,31445,4bbe231,
rakudo.moar,2014-05-24,100.00%,ee6df08,30028,0,631,1381,32040,31445,4bbe231,
rakudo.parrot,2014-05-24,96.79%,ee6df08,29064,11,602,1454,31131,31445,4bbe231,
niecza,2014-05-23,68.92%,ee6df08,20694,1163,713,1745,24283,31445,48a8de3,
pugs,2014-05-23,00.06%,ee6df08,19,14737,0,1,14757,31329,9d8b59d,
rakudo.jvm,2014-05-23,98.47%,ee6df08,29568,4,644,1590,31806,31445,85bcd7a,
rakudo.moar,2014-05-23,100.00%,ee6df08,30028,0,631,1381,32040,31445,85bcd7a,
rakudo.parrot,2014-05-23,96.79%,ee6df08,29065,10,602,1454,31131,31445,85bcd7a,
niecza,2014-05-22,68.88%,2cee534,20693,1164,713,1745,24283,31446,48a8de3,
pugs,2014-05-22,00.06%,2cee534,19,14737,0,1,14757,31330,9d8b59d,
rakudo.jvm,2014-05-22,98.37%,2cee534,29553,38,626,1590,31807,31446,900f0ba,
rakudo.moar,2014-05-22,100.00%,2cee534,30043,10,607,1381,32041,31446,900f0ba,
rakudo.parrot,2014-05-22,96.74%,2cee534,29064,14,600,1454,31132,31446,900f0ba,
niecza,2014-05-21,68.90%,b1be572,20692,1164,713,1745,24282,31431,48a8de3,
pugs,2014-05-21,00.06%,b1be572,19,14736,0,1,14756,31315,9d8b59d,
rakudo.jvm,2014-05-21,98.38%,b1be572,29546,36,626,1594,31802,31431,d96ad15,
rakudo.moar,2014-05-21,100.00%,b1be572,30034,10,607,1385,32036,31431,d96ad15,
rakudo.parrot,2014-05-21,96.76%,b1be572,29062,7,600,1458,31127,31431,d96ad15,
niecza,2014-05-20,67.99%,2316a2f,20384,1487,706,1699,24250,31370,48a8de3,
pugs,2014-05-20,00.06%,2316a2f,19,14736,0,1,14756,31254,9d8b59d,
rakudo.jvm,2014-05-20,98.48%,2316a2f,29524,11,625,1594,31754,31370,c382c7c,
rakudo.moar,2014-05-20,100.00%,2316a2f,29981,10,607,1390,31988,31370,c382c7c,
rakudo.parrot,2014-05-20,96.56%,2316a2f,28949,72,600,1458,31079,31370,c382c7c,
niecza,2014-05-19,68.00%,228e9b3,20382,1489,706,1699,24250,31362,48a8de3,
pugs,2014-05-19,00.06%,228e9b3,19,14736,0,1,14756,31246,9d8b59d,
rakudo.jvm,2014-05-19,98.49%,228e9b3,29520,15,625,1586,31746,31362,bcb3934,
rakudo.moar,2014-05-19,100.00%,228e9b3,29974,9,607,1390,31980,31362,bcb3934,
rakudo.parrot,2014-05-19,96.12%,228e9b3,28812,201,600,1458,31071,31362,bcb3934,
niecza,2014-05-18,68.11%,6f14b03,20407,1451,706,1711,24249,31361,48a8de3,
pugs,2014-05-18,00.06%,6f14b03,19,14736,0,1,14756,31245,9d8b59d,
rakudo.jvm,2014-05-18,98.50%,6f14b03,29515,19,625,1586,31745,31361,d154cc8,
